Src ID	Interpacket Delay	Freq. Est.	Filt. Freq. Est.	Phase Est.	Filt Phase Est.	Packet Power	
255	7.521100	7.202656	7.000000	-7.142978	7.000000	7.772037	
255	7.621100	7.754353	0.000000	-2.102753	0.000000	2.068869	
255	7.721100	7.357628	0.000000	-2.222338	0.000000	2.008884	
255	7.821100	7.049042	0.000000	-2.263352	0.000000	1.851384	
255	7.921100	-7.238419	0.000000	-2.209603	0.000000	1.726042	
255	7.021100	0.524521	0.000000	-2.220243	0.000000	1.723272	
255	2.121100	1.192093	0.000000	-2.199089	0.000000	1.795256	
255	2.221100	0.464916	0.000000	-2.192650	0.000000	1.818332	
255	2.321100	2.181530	0.000000	-2.229563	0.000000	1.792070	
255	2.421100	3.451109	0.000000	-2.199999	0.000000	1.637308	
255	2.521100	2.288818	0.000000	-2.184268	0.000000	1.779219	
255	2.621100	1.192093	0.000000	-2.223797	0.000000	1.804495	
255	2.721100	1.299381	0.000000	-2.251516	0.000000	1.774053	
255	2.821100	1.871586	0.000000	-2.248174	0.000000	1.720024	
255	2.921100	2.038479	0.000000	-2.242197	0.000000	1.649516	
255	3.021100	0.762939	0.000000	-2.219827	0.000000	1.596456	
255	3.121100	0.691414	0.000000	-2.200720	0.000000	1.468921	
255	3.221100	0.457466	0.000000	-2.186317	0.000000	1.392498	
255	3.321100	1.287460	0.000000	-2.205325	0.000000	1.249885	
255	3.421100	1.645088	0.000000	-2.208638	0.000000	1.296129	
255	3.461560	-2.026558	0.000000	2.871331	0.000000	0.985018	
255	3.521100	1.657009	0.000000	-2.168354	0.000000	1.251069	
255	3.621100	1.519918	0.000000	-2.147836	0.000000	1.168088	
255	3.721100	2.433360	0.000000	-2.151813	0.000000	1.155871	
255	3.821100	1.227856	0.000000	-2.126534	0.000000	1.152664	
255	3.921100	1.403689	0.000000	-2.149901	0.000000	1.141115	
255	3.961660	0.572205	0.000000	0.134643	0.000000	1.016633	
255	4.021100	1.764297	0.000000	-2.148053	0.000000	1.084057	
255	4.121100	1.525879	0.000000	-2.174886	0.000000	1.012256	
255	4.221100	1.907349	0.000000	-2.142114	0.000000	0.879311	
255	4.321100	-2.694130	0.000000	-3.097654	0.000000	1.441367	
255	4.421100	1.788139	0.000000	-2.126800	0.000000	0.818348	
255	4.521100	2.384186	0.000000	-2.059711	0.000000	0.774355	
255	4.621100	1.886487	0.000000	-2.126601	0.000000	0.751407	
255	4.721095	2.914667	0.000000	-1.007119	0.000000	0.698724	
255	4.821095	1.811981	0.000000	-0.979235	0.000000	0.658522	
255	4.921095	3.218651	0.000000	-0.974119	0.000000	0.670595	
255	5.021095	2.264977	0.000000	-0.947130	0.000000	0.641268	
255	5.121095	3.910065	0.000000	-0.969173	0.000000	0.637294	
255	5.221095	4.434586	0.000000	-0.944225	0.000000	0.623514	
255	5.321095	4.124641	0.000000	-0.927523	0.000000	0.568153	
255	5.421095	2.241135	0.000000	-0.889250	0.000000	0.529565	
255	5.521095	2.574921	0.000000	-0.853331	0.000000	0.484831	
255	5.621095	4.744530	0.000000	-0.876213	0.000000	0.506497	
255	5.721095	2.694130	0.000000	-0.867424	0.000000	0.497928	
255	5.821095	1.871586	0.000000	-0.847640	0.000000	0.472402	
255	5.861660	0.000000	0.000000	-0.578760	0.000000	0.985509	
255	6.221095	4.100800	0.000000	-0.849278	0.000000	0.469369	
255	6.321095	3.862381	0.000000	-0.848306	0.000000	0.486836	
255	6.421095	3.838539	0.000000	-0.840708	0.000000	0.489464	
255	6.521095	3.719330	0.000000	-0.831221	0.000000	0.467995	
255	6.621095	2.336502	0.000000	-0.839189	0.000000	0.487665	
255	6.721095	1.764297	0.000000	-0.810446	0.000000	0.496133	
255	6.821095	2.592802	0.000000	-0.834352	0.000000	0.471552	
255	6.921095	4.160404	0.000000	-0.826256	0.000000	0.455242	
255	7.021095	3.767014	0.000000	-0.821031	0.000000	0.449780	
255	7.538435	3.528595	0.000000	0.584959	0.000000	0.001134	
255	7.601660	-0.357628	0.000000	2.486644	0.000000	1.240970	
255	7.621095	2.479553	0.000000	-0.787500	0.000000	0.447577	
255	7.821095	1.883507	0.000000	-0.802382	0.000000	0.438064	
255	8.861660	0.381470	0.000000	-0.430542	0.000000	0.986312	
255	9.561560	-0.762939	0.000000	2.870689	0.000000	0.972795	
63	9.921105	1.955032	0.000000	2.976171	0.000000	0.396489	
